shot_id,timestamp,magnitude1,magnitude2,magnitude3,magnitude4,magnitude5,magnitude6,magnitude7,magnitude8
1,1755946124.740767,0.3558,0.7300,3.0611,28.9753,2.2568,3.2064,1.2452,0.8943
2,1755946145.055584,2.4341,4.5268,5.6459,30.9146,2.9146,7.8679,13.5785,2.1445
3,1755946146.578846,30.9146,2.9146,7.8679,13.5785,2.1445,1.1826,0.2423,0.3425
3,1755946207.5150292,1.1741,0.4966,0.2823,14.4889,7.8417,29.5251,5.6868,2.5491
4,1755946209.035028,0.2823,14.4889,7.8417,29.5251,5.6868,2.5491,0.2052,0.3964
4,1755946222.5934455,6.2057,3.0210,16.9047,18.1216,9.9638,14.3175,1.4802,0.3228
5,1755946223.8149872,16.9047,18.1216,9.9638,14.3175,1.4802,0.3228,0.5732,0.2241
5,1755946267.8972023,0.0728,0.2249,0.2088,25.9525,6.2587,2.9737,2.3008,2.1183
6,1755946284.3951705,4.4283,5.1569,7.1838,17.1297,1.4639,1.0842,1.6237,1.0353
7,1755946309.6972206,0.4677,1.3712,5.7630,28.4826,5.1847,2.6079,2.1078,2.2559
8,1755946349.933289,0.2410,2.3242,9.4966,11.3367,7.3150,1.9040,9.6708,6.2786
9,1755946352.2649024,9.6708,6.2786,6.8768,10.8284,3.4910,2.5012,3.5000,5.3296
9,1755946460.7242057,3.1446,4.2514,3.0611,28.9753,2.2568,4.4975,3.2064,1.7647
10,1755946460.7442036,4.4510,4.1686,6.3802,17.7100,7.2992,7.8413,2.5148,2.5034
10,1755946460.750211,0.9993,1.7458,4.6380,28.3181,4.7640,7.1891,3.1534,2.9758
10,1755946472.813557,2.0395,8.9026,11.3479,20.2429,15.6262,10.3393,19.4633,5.6697
11,1755946474.3380299,20.2429,15.6262,10.3393,19.4633,5.6697,7.0724,1.5635,1.1994
11,1755946482.3246036,0.0990,2.0233,8.6369,15.2836,9.1517,11.2843,6.4567,4.8460
12,1755946482.8395193,8.6369,15.2836,9.1517,11.2843,6.4567,4.8460,5.0449,1.6957
12,1755946488.7115693,4.3664,9.7587,13.2438,20.6330,14.3158,1.6459,12.6001,4.6921
13,1755946489.834341,20.6330,14.3158,1.6459,12.6001,4.6921,15.8101,4.1069,3.5675
13,1755946490.6492417,1.6459,12.6001,4.6921,15.8101,4.1069,3.5675,3.6803,1.5152
13,1755946498.4326642,5.1484,8.1738,7.1388,17.5133,8.9176,11.7345,3.3135,16.3561
14,1755946499.3515825,7.1388,17.5133,8.9176,11.7345,3.3135,16.3561,3.2806,4.3720
14,1755946499.9637825,8.9176,11.7345,3.3135,16.3561,3.2806,4.3720,5.5563,3.8157
14,1755946506.1358836,5.2230,3.3030,11.0751,15.0553,12.6935,1.9394,6.9322,1.6496
15,1755946536.8180351,8.9303,9.6399,5.4565,29.8784,9.1026,11.8202,9.1697,6.4379
16,1755946537.3322158,5.4565,29.8784,9.1026,11.8202,9.1697,6.4379,1.7108,1.0310
16,1755946547.441873,0.2283,2.9002,11.7706,13.7666,2.2729,1.1470,0.8161,3.1252
17,1755946555.559829,4.0456,10.3713,12.0985,15.5987,2.3784,3.9619,2.8626,0.7322
18,1755946563.370957,1.1082,7.8103,12.3356,23.2188,0.2090,0.7212,0.3618,0.3785
19,1755946571.2805843,0.0583,3.7961,11.9108,15.2296,10.6579,8.3731,1.2097,0.6490
20,1755946578.3777375,0.3511,5.7507,8.9889,24.8361,11.9467,9.0136,19.3912,4.5480
21,1755946579.100858,24.8361,11.9467,9.0136,19.3912,4.5480,0.6652,1.6004,1.8591
21,1755946592.967235,2.4408,2.7363,2.7334,34.4658,3.2994,14.3734,11.1578,9.1506
22,1755946594.7982635,2.7334,34.4658,3.2994,14.3734,11.1578,9.1506,0.7852,0.0970
22,1755946614.443128,2.2717,1.6930,4.2412,10.9667,1.6134,1.5755,3.2092,1.4681
23,1755947826.6749194,7.9136,3.4978,4.1319,25.7003,7.5859,0.9118,0.9966,0.4760
24,1755947831.0249188,0.4760,1.2120,5.8732,15.0151,6.5295,4.6865,3.1856,0.8943
24,1755947834.4664443,1.6974,8.0534,3.8493,13.2441,7.1511,6.1606,6.8934,2.6282
25,1755947837.009231,2.6282,2.6092,3.9252,20.9639,10.3422,14.6014,8.1075,5.7273
25,1755947838.3287463,3.9252,20.9639,10.3422,14.6014,8.1075,5.7273,3.5702,12.2567
25,1755947840.757288,5.7273,3.5702,12.2567,17.0498,12.3697,3.0573,14.6590,15.1642
26,1755947842.284214,12.3697,3.0573,14.6590,15.1642,14.0292,2.3557,21.8637,14.3352
26,1755947843.6017199,15.1642,14.0292,2.3557,21.8637,14.3352,17.3171,8.7691,3.7339
26,1755947844.0084798,2.3557,21.8637,14.3352,17.3171,8.7691,3.7339,3.3205,2.5915
26,1755947851.9013083,3.1658,2.1932,8.5872,24.8185,11.2813,3.3077,12.1776,7.6066
27,1755947853.1251998,24.8185,11.2813,3.3077,12.1776,7.6066,9.0674,7.9666,1.9840
27,1755947858.0837405,1.0364,2.5969,4.1802,17.6787,9.5170,12.7439,0.8081,0.6281
28,1755947859.204756,4.1802,17.6787,9.5170,12.7439,0.8081,0.6281,1.8929,0.1995
28,1755947863.1544077,0.1995,0.4051,0.6815,10.6605,10.6280,11.4344,8.5715,6.0492
29,1755947863.9761863,0.6815,10.6605,10.6280,11.4344,8.5715,6.0492,3.2426,0.8122
29,1755947877.0369904,2.2263,4.7126,9.7142,10.8791,8.4556,4.3163,2.4373,0.5583
30,1755947890.3100867,0.6661,1.0540,7.1769,20.0987,7.6958,3.5840,1.2072,4.3427
15,1756298843.6405385,3.1446,4.2514,3.0611,28.9753,2.2568,4.4975,3.2064,1.7647
16,1756298843.6555583,4.4510,4.1686,6.3802,17.7100,7.2992,7.8413,2.5148,2.5034
16,1756298843.6625729,0.9993,1.7458,4.6380,28.3181,4.7640,7.1891,3.1534,2.9758
16,1756298843.6870732,2.4341,4.5268,5.6459,30.9146,2.9146,7.8679,13.5785,9.0881
16,1756298843.689073,30.9146,2.9146,7.8679,13.5785,9.0881,2.1445,0.7441,1.1826
16,1756298843.7270753,1.4103,3.1087,16.0391,18.2428,9.5888,5.7514,6.1095,2.1588
16,1756298843.7650788,0.5849,6.5331,18.4311,20.9894,8.2551,8.6446,8.6110,2.6268
16,1756298843.7721515,0.4966,0.2823,3.0671,14.4889,7.8417,29.5251,7.0932,5.6868
16,1756298843.7741556,3.0671,14.4889,7.8417,29.5251,7.0932,5.6868,6.0733,2.5491
16,1756298843.7941587,3.0210,5.0230,16.9047,18.1216,9.9638,14.3175,5.8159,2.4291
16,1756298843.7961543,16.9047,18.1216,9.9638,14.3175,5.8159,2.4291,1.7830,0.7923
16,1756298843.8716702,1.0058,6.8598,8.8006,25.9525,6.2587,6.9244,9.1170,2.9737
16,1756298843.8906832,5.1569,6.6826,6.8981,20.1177,15.6943,7.1838,17.1297,6.5359
16,1756298843.8926706,20.1177,15.6943,7.1838,17.1297,6.5359,2.4290,1.4639,1.0842
16,1756298843.921668,1.3712,5.7630,9.5848,28.4826,5.1847,2.6079,2.4567,21.5013
16,1756298843.9296749,5.1847,2.6079,2.4567,21.5013,12.2732,4.5848,2.1078,2.2559
16,1756298843.952215,2.3242,3.4669,9.4966,11.3367,7.3150,6.2783,1.9040,29.9580
16,1756298843.9552183,7.3150,6.2783,1.9040,29.9580,9.6708,2.5447,6.2786,6.8768
16,1756298843.9612467,2.5447,6.2786,6.8768,10.8284,6.2712,3.4910,2.5012,3.5000
16,1756298844.0842474,0.6411,2.6773,9.1942,23.6641,5.4140,3.9369,13.9919,12.6910
16,1756298844.0872478,23.6641,5.4140,3.9369,13.9919,12.6910,12.2587,6.4898,2.6328
16,1756298844.0972497,1.0444,6.8884,5.0797,33.7428,3.2029,12.8110,17.8697,6.0921
16,1756298844.1012473,33.7428,3.2029,12.8110,17.8697,6.0921,5.9965,6.4959,3.8047
16,1756298844.1362476,2.0395,8.9026,5.3299,11.3479,6.9894,20.2429,15.6262,10.3393
16,1756298844.138247,5.3299,11.3479,6.9894,20.2429,15.6262,10.3393,19.4633,5.6697
16,1756298844.1452477,20.2429,15.6262,10.3393,19.4633,5.6697,7.0724,2.5165,4.7065
16,1756298844.1622522,0.0990,2.0233,8.6369,15.2836,9.1517,24.9939,6.8933,11.2177
16,1756298844.1642525,8.6369,15.2836,9.1517,24.9939,6.8933,11.2177,11.2843,7.7250
16,1756298844.1677628,24.9939,6.8933,11.2177,11.2843,7.7250,6.4567,4.8460,5.0449
16,1756298844.1777687,9.7587,11.9931,13.2438,20.6330,14.3158,1.6459,12.6001,11.8097
16,1756298844.1797822,20.6330,14.3158,1.6459,12.6001,11.8097,4.6921,15.8101,4.1344
16,1756298844.1817672,12.6001,11.8097,4.6921,15.8101,4.1344,4.1069,3.5675,3.6803
16,1756298844.1977928,4.8030,8.1738,7.1388,17.5133,15.0228,14.5079,13.5679,8.9176
16,1756298844.2007737,14.5079,13.5679,8.9176,11.7345,3.3135,16.3561,3.2806,3.6940
16,1756298844.2037706,8.9176,11.7345,3.3135,16.3561,3.2806,3.6940,4.3720,5.5563
16,1756298844.2207713,4.3081,5.2230,3.3030,25.3550,11.0751,15.0553,16.4709,12.6935
16,1756298844.22577,25.3550,11.0751,15.0553,16.4709,12.6935,1.9394,9.7196,6.9322
16,1756298844.2527797,0.7231,1.2999,2.9206,16.6591,2.2694,2.4973,1.4804,3.4529
16,1756298844.273293,8.9303,9.6399,5.4565,29.8784,9.1026,11.8202,9.1697,6.4379
16,1756298844.2762933,5.4565,29.8784,9.1026,11.8202,9.1697,6.4379,1.7108,1.0310
16,1756298844.2970119,2.9002,11.7706,13.7666,21.5940,10.2920,15.4720,1.5204,2.2729
16,1756298844.300018,13.7666,21.5940,10.2920,15.4720,1.5204,2.2729,1.1470,0.8161
16,1756298844.3200204,4.0456,8.1063,10.3713,12.0985,11.9915,11.1061,15.5987,2.3784
16,1756298844.3240168,12.0985,11.9915,11.1061,15.5987,2.3784,3.9619,2.8626,0.7322
16,1756298844.3390155,7.4873,7.8103,12.3356,23.2188,11.1754,18.6695,4.6117,1.6941
16,1756298844.341015,12.3356,23.2188,11.1754,18.6695,4.6117,1.6941,0.8233,0.2090
16,1756298844.3566592,6.9963,11.9108,15.2296,22.7318,3.9227,10.9353,10.6579,8.3731
16,1756298844.3606348,15.2296,22.7318,3.9227,10.9353,10.6579,8.3731,1.7309,0.4064
16,1756298844.3811657,5.4213,5.7507,8.9889,24.8361,11.9467,9.0136,19.3912,11.8595
16,1756298844.3851633,24.8361,11.9467,9.0136,19.3912,11.8595,3.0190,4.5480,0.6652
16,1756298844.4081628,2.7334,8.0399,10.3605,34.4658,3.2994,14.3734,11.1578,9.1506
16,1756298844.4101608,10.3605,34.4658,3.2994,14.3734,11.1578,9.1506,1.0568,0.7852
16,1756298844.4516802,2.2717,1.6930,4.2412,10.9667,6.4530,1.6134,4.5345,1.5755
16,1756298844.5291922,1.4433,0.1640,0.5320,13.9701,1.5621,0.1814,0.0224,0.0100
16,1756298844.5511947,2.9758,3.4978,4.1319,25.7003,7.5859,7.7779,5.2548,4.4710
16,1756298844.5592134,2.0237,6.4671,7.6674,28.7484,5.4068,5.8732,15.0151,16.2340
16,1756298844.5622132,5.4068,5.8732,15.0151,16.2340,6.5295,4.0053,4.6865,3.1856
16,1756298844.5683694,4.7432,8.0534,3.8493,13.2441,7.1511,6.1606,1.7533,6.8934
16,1756298844.579369,2.6282,2.6092,3.9252,20.9639,15.6741,10.3422,14.6014,13.0418
16,1756298844.5833683,20.9639,15.6741,10.3422,14.6014,13.0418,8.1075,5.7273,3.5702
16,1756298844.5963676,8.1075,5.7273,3.5702,29.0455,3.9959,12.2567,17.0498,12.3697
16,1756298844.5993674,29.0455,3.9959,12.2567,17.0498,12.3697,3.0573,14.6590,24.2439
16,1756298844.6073687,12.3697,3.0573,14.6590,24.2439,7.6030,15.1642,14.0292,12.0624
16,1756298844.610368,14.6590,24.2439,7.6030,15.1642,14.0292,12.0624,10.7049,2.3557
16,1756298844.6133718,12.0624,10.7049,2.3557,21.8637,14.3352,17.3171,8.7691,1.6145
16,1756298844.6173697,2.3557,21.8637,14.3352,17.3171,8.7691,1.6145,3.7339,3.3205
16,1756298844.6399655,3.1658,2.1932,8.5872,24.8185,11.2813,3.3077,12.1776,7.6066
16,1756298844.644982,24.8185,11.2813,3.3077,12.1776,7.6066,9.0674,7.9666,5.9975
16,1756298844.6529715,1.0364,2.5969,4.1802,21.4434,17.6787,5.1728,9.5170,12.7439
16,1756298844.6609695,5.1728,9.5170,12.7439,13.0737,7.2231,5.9988,0.6250,0.8081
16,1756298844.6715689,0.6725,2.2490,5.7479,27.7672,10.6605,5.0659,9.9164,10.6280
16,1756298844.6775727,5.0659,9.9164,10.6280,11.4344,8.5715,6.0492,3.2426,0.2998
16,1756298844.7065647,2.8842,2.2263,4.7384,31.1203,5.9766,4.7126,9.7142,10.8791
16,1756298844.7095711,5.9766,4.7126,9.7142,10.8791,8.4556,6.8138,4.3163,2.4373
16,1756298844.7385738,2.5788,7.1769,17.9665,20.0987,7.6958,3.5840,1.2072,4.3427
1,1756299027.0849385,2.2035,1.0176,0.6028,11.3301,1.2615,4.5169,1.5508,0.1700
2,1756299058.752181,0.4804,0.2625,10.8346,12.5140,12.4611,11.6662,11.6613,11.1724
3,1756299156.7243402,2.1400,2.6338,3.0616,10.8220,4.2600,0.6701,0.0768,0.0100
4,1756299192.144221,4.9624,2.9929,4.2278,11.2773,4.3844,2.6113,1.0341,1.2258
5,1756299366.9376693,2.3994,7.1160,2.7889,14.4867,4.5931,0.9774,1.0353,2.8586
6,1756299381.0422108,4.6767,2.4123,7.0119,17.7717,13.6115,12.9308,16.3589,14.7748
7,1756299382.0616918,17.7717,13.6115,12.9308,16.3589,14.7748,13.9969,7.8036,13.6163
7,1756299383.5885286,14.7748,13.9969,7.8036,13.6163,5.1348,16.5993,0.6382,13.7041
7,1756299383.9960864,7.8036,13.6163,5.1348,16.5993,0.6382,13.7041,6.1494,3.9868
7,1756299384.8070202,5.1348,16.5993,0.6382,13.7041,6.1494,3.9868,1.2410,12.3331
7,1756299387.237983,6.1494,3.9868,1.2410,12.3331,10.1394,2.3224,21.8102,9.4373
8,1756299387.4491582,12.3331,10.1394,2.3224,21.8102,9.4373,4.5676,14.3632,16.1759
8,1756299388.9691305,9.4373,4.5676,14.3632,16.1759,5.2043,7.3124,2.2193,2.6993
