time(ms),ax,ay,az
4000.0,-1.9,7.5,1.6
4020.0,3.1,1.2,-1.0
4040.0,2.8,1.0,2.9
4060.0,-4.1,-24.9,5.1
4080.0,2.5,-6.7,2.5
4100.0,0.3,0.8,0.3
4120.0,-0.5,-0.6,-0.6
4140.0,0.2,0.4,-0.1
4160.0,0.2,0.4,-0.1
4180.0,0.8,0.5,-0.7
4200.0,-5.5,0.4,2.0
4220.0,-9.5,11.6,-0.8
4240.0,1.0,-1.9,-6.2
4260.0,3.4,3.1,-1.1
4280.0,2.5,0.6,-1.9
4300.0,0.4,-0.7,-0.4
4320.0,-0.6,0.0,1.6
4340.0,-0.6,-5.8,-5.5
4360.0,-1.1,0.5,3.6
4380.0,6.4,10.3,5.4
4400.0,-5.0,-4.8,-1.9
4420.0,-3.0,-5.2,-1.5
4440.0,2.0,5.7,-3.2
4460.0,1.1,2.4,-0.2
4480.0,1.1,2.4,-0.2
4500.0,2.4,0.1,-1.0
4520.0,3.3,0.9,2.0
4540.0,-5.4,-19.7,4.8
4560.0,-9.2,2.8,-3.8
4580.0,-8.3,12.0,-0.6
4600.0,6.4,4.8,-1.6
4620.0,5.5,0.5,-1.5
4640.0,3.3,0.9,2.0
4660.0,-5.4,-19.7,4.8
4680.0,-9.2,2.8,-3.8
4700.0,-8.3,12.0,-0.6
4720.0,6.4,4.8,-1.6
4740.0,5.5,0.5,-1.5
4760.0,-1.6,-3.0,1.2
4780.0,-10.4,6.3,-1.2
4800.0,5.5,0.5,-1.5
4820.0,-1.6,-3.0,1.2
4840.0,-10.4,6.3,-1.2
4860.0,-2.0,16.9,1.1
4880.0,8.2,9.2,-0.9
4900.0,1.8,1.0,2.3
4920.0,-5.3,-13.7,0.7
4940.0,-13.0,6.4,-4.5
4960.0,8.2,9.2,-0.9
4980.0,1.8,1.0,2.3
5000.0,-5.3,-13.7,0.7
5020.0,-13.0,6.4,-4.5
5040.0,-5.7,12.8,-0.5
5060.0,1.8,-1.0,1.2
5080.0,-2.1,-21.5,3.3
5100.0,3.5,-10.7,8.9
5120.0,-13.0,6.4,-4.5
5140.0,-5.7,12.8,-0.5
5160.0,1.8,-1.0,1.2
5180.0,-2.1,-21.5,3.3
5200.0,3.5,-10.7,8.9
5220.0,-13.4,10.9,1.2
5240.0,0.5,8.2,-3.1
5260.0,0.4,3.1,-2.1
5280.0,1.8,-1.0,1.2
5300.0,-2.1,-21.5,3.3
5320.0,3.5,-10.7,8.9
5340.0,-13.4,10.9,1.2
5360.0,0.5,8.2,-3.1
5380.0,0.4,3.1,-2.1
5400.0,0.9,2.3,-2.2
5420.0,1.1,2.4,-0.1
5440.0,-1.9,-1.0,2.4
5460.0,-0.7,2.0,-0.3
5480.0,8.1,0.1,-2.9
5500.0,-2.1,-24.1,5.7
5520.0,7.0,-8.5,2.3
5540.0,-3.2,-0.5,-0.7
5560.0,-10.7,5.8,-0.8
5580.0,-3.8,6.2,-2.2
5600.0,-2.1,-24.1,5.7
5620.0,7.0,-8.5,2.3
5640.0,-3.2,-0.5,-0.7
5660.0,-10.7,5.8,-0.8
5680.0,-3.8,6.2,-2.2
5700.0,-0.6,8.9,-1.8
5720.0,3.2,7.2,-0.9
5740.0,1.7,0.9,-0.5
5760.0,-0.4,0.5,0.8
5780.0,2.2,0.3,-1.4
5800.0,3.7,-0.8,-1.7
5820.0,10.9,-13.0,5.1
5840.0,-8.8,3.5,0.0
5860.0,-7.6,10.2,-0.9
5880.0,-0.7,-0.2,-0.4
5900.0,0.6,-0.1,-0.3
5920.0,3.7,-0.8,-1.7
5940.0,10.9,-13.0,5.1
5960.0,-8.8,3.5,0.0
5980.0,-7.6,10.2,-0.9
6000.0,-0.7,-0.2,-0.4
6020.0,0.6,-0.1,-0.3
6040.0,-1.7,-0.9,0.1
6060.0,0.1,0.2,0.0
6080.0,0.1,0.2,0.0
6100.0,-0.3,-0.0,0.3
6120.0,-0.6,-0.1,0.2
6140.0,7.4,-7.7,-0.3
6160.0,-6.1,8.5,-1.8
6180.0,0.6,11.2,-2.1
6200.0,4.8,7.0,-1.0
6220.0,5.2,2.4,-2.0
6240.0,-0.6,-0.1,0.2
6260.0,7.4,-7.7,-0.3
6280.0,-6.1,8.5,-1.8
6300.0,0.6,11.2,-2.1
6320.0,4.8,7.0,-1.0
6340.0,5.2,2.4,-2.0
6360.0,3.1,0.1,-0.8
6380.0,-0.8,-0.1,0.0
6400.0,1.1,1.9,0.4
6420.0,-4.7,0.1,0.0
6440.0,-8.4,4.7,-1.3
6460.0,-6.0,8.3,-3.6
6480.0,-1.1,7.8,-3.0
6500.0,2.8,3.3,-0.0
6520.0,2.3,0.8,-0.3
6540.0,-0.2,-0.2,-0.5
6560.0,0.4,0.5,0.0
6580.0,0.9,0.2,-0.4
6600.0,6.9,1.1,-1.5
6620.0,11.1,-15.8,5.4
6640.0,-7.0,-2.5,-1.9
6660.0,-2.6,0.1,-2.4
6680.0,-0.7,0.5,-0.8
6700.0,-3.3,2.4,-1.5
