次序 姿势 得分 失误点
1 正手 76 重心太高
2 反手 42 没有侧身
3 正手 91 小臂未收紧
4 反手 18 击球点偏后
5 正手 63 随挥不充分
6 反手 89 握拍过松
7 正手 25 转体不完整
8 反手 57 拍面角度过开
9 正手 12 脚步未到位
10 反手 94 发力顺序错误
11 正手 37 抬肘击球
12 反手 68 击球时机过晚
13 正手 81 身体前倾不足
14 反手 45 手腕晃动
15 正手 5 重心后坐
16 反手 73 没有顶肘
17 正手 29 侧身不充分
18 反手 96 挥拍轨迹过平
19 正手 51 引拍过短
20 反手 33 左肩未打开
21 正手 69 击球后身体失衡
22 反手 15 拍头速度不足
23 正手 87 重心转移不明显
24 反手 49 转腰过慢
25 正手 22 小臂外旋不够
26 反手 79 随挥方向偏左
27 正手 55 脚步交叉步错误
28 反手 10 握拍过紧
29 正手 83 击球点靠前
30 反手 38 没有蹬地发力
31 正手 64 身体过于僵硬
32 反手 9 引拍过高
33 正手 71 随挥收拍过早
34 反手 58 侧身转体过大
35 正手 26 重心起伏太大
36 反手 85 拍面下压不足
37 正手 41 挥拍路径过陡
38 反手 60 击球时闭眼
39 正手 19 左肩下沉不够
40 反手 93 随挥不连贯
41 正手 35 脚步移动过慢
42 反手 70 发力过猛导致变形
43 正手 53 击球后手臂未放松
44 反手 2 转体不及时
45 正手 88 重心太靠前
46 反手 46 拍面角度过关
47 正手 66 引拍时肘部外翻
48 反手 11 没有送胯动作
49 正手 77 随挥结束位置过低
50 反手 30 击球点偏离身体太远
