[-15.22, -155.4, -1.58]
[-15.07, -155.42, -1.57]
[-14.45, -155.48, -1.5]
[-11.93, -155.69, -1.25]
[-9.43, -155.86, -1.02]
[-8.7, -155.91, -0.95]
[-8.45, -155.92, -0.93]
[-8.55, -155.91, -0.93]
[-8.67, -155.91, -0.94]
[-7.49, -155.96, -0.84]
[-6.79, -156.0, -0.78]
[-6.79, -156.0, -0.77]
[-6.69, -156.0, -0.74]
[-4.82, -156.07, -0.55]
[-5.39, -156.05, -0.6]
[-6.21, -156.02, -0.67]
[-4.71, -156.07, -0.51]
[-6.05, -156.03, -0.64]
[-7.36, -155.97, -0.79]
[-7.14, -155.99, -0.48]
[-8.36, -155.93, -0.64]
[-12.54, -155.37, 11.73]
[-8.72, -155.88, 8.1]
[-8.03, -156.02, 5.95]
[-7.59, -156.1, 4.38]
[-6.89, -156.15, 3.8]
[-5.24, -156.22, 3.56]
[-3.42, -156.28, 3.5]
[-1.5, -156.31, 3.53]
[-0.5, -156.32, 3.56]
[-1.23, -156.31, 3.47]
[-7.4, -156.15, 2.88]
[-7.04, -156.16, 3.28]
[1.64, -155.99, -1.73]
[27.27, -153.32, 17.24]
[-9.04, 10.65, -123.33]
[-3.98, 9.77, -124.8]
[-16.4, 30.91, -136.36]
[-16.75, 16.32, -123.11]
[-0.54, -24.11, -91.55]
[0.0, 36.77, 14.71]
[44.58, -39.0, -66.79]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
[-36.69, -75.44, 118.39]
